angle	  | quarter	  | number	  | comparison																																																																																																																																										
-6930	  | 2		  | -77		  | 3F 2T 2F 1T 1F 2T 2F 1T 2F 1T 3F 1T 1F 2T 5F 1T 4F 3T 5F 2T 1F 1T 1F 1T 1F 2T 3F 1T 1F 2T 4F 2T 9F 1T 3F 1T 1F 2T 19F 2T 1F 1T 3F 1T 9F 2T 4F 2T 1F 1T 3F 2T 1F 1T 1F 1T 1F 2T 5F 3T 4F 1T 5F 2T 1F 1T 3F 1T 2F 1T 2F 2T 1F 1T 2F 2T 2F 																																																																																		
-6840	  | 1		  | -76		  | 10F 2T 1F 1T 3F 1T 9F 2T 4F 2T 1F 1T 3F 2T 1F 1T 1F 1T 1F 2T 5F 3T 4F 1T 5F 2T 1F 1T 3F 1T 2F 1T 2F 2T 1F 1T 2F 2T 2F 																																																																																																															
-6750	  | 4		  | -75		  | 3F 2T 2F 1T 1F 2T 2F 1T 2F 1T 3F 1T 1F 2T 5F 1T 4F 3T 5F 2T 1F 1T 1F 1T 1F 2T 3F 1T 1F 2T 4F 2T 9F 1T 3F 1T 1F 2T 19F 2T 1F 1T 3F 1T 9F 2T 4F 2T 1F 1T 3F 2T 1F 1T 1F 1T 1F 2T 5F 3T 4F 1T 5F 2T 1F 1T 3F 1T 2F 1T 2F 2T 1F 1T 2F 2T 2F 																																																																																		
-6660	  | 3		  | -74		  | 10F 2T 1F 1T 3F 1T 9F 2T 4F 2T 1F 1T 3F 2T 1F 1T 1F 1T 1F 2T 5F 3T 4F 1T 5F 2T 1F 1T 3F 1T 2F 1T 2F 2T 1F 1T 2F 2T 2F 																																																																																																															
-6570	  | 2		  | -73		  | 3F 2T 2F 1T 1F 2T 2F 1T 2F 1T 3F 1T 1F 2T 5F 1T 4F 3T 5F 2T 1F 1T 1F 1T 1F 2T 3F 1T 1F 2T 4F 2T 9F 1T 3F 1T 1F 2T 19F 2T 1F 1T 3F 1T 9F 2T 4F 2T 1F 1T 3F 2T 1F 1T 1F 1T 1F 2T 5F 3T 4F 1T 5F 2T 1F 1T 3F 1T 2F 1T 2F 2T 1F 1T 2F 2T 2F 																																																																																		
-6480	  | 1		  | -72		  | 10F 2T 1F 1T 3F 1T 9F 2T 4F 2T 1F 1T 3F 2T 1F 1T 1F 1T 1F 2T 5F 3T 4F 1T 5F 2T 1F 1T 3F 1T 2F 1T 2F 2T 1F 1T 2F 2T 2F 																																																																																																															
-6390	  | 4		  | -71		  | 1T 2F 2T 2F 1T 1F 2T 2F 1T 2F 1T 3F 1T 1F 2T 1F 																																																																																																																																
-6300	  | 3		  | -70		  | 1F 1T 3F 2T 2F 1T 10F 1T 5F 1T 11F 2T 6F 1T 4F 1T 1F 1T 9F 1T 2F 																																																																																																																												
-6210	  | 2		  | -69		  | 17F 1T 1F 1T 1F 1T 5F 1T 9F 1T 1F 1T 4F 1T 6F 2T 11F 1T 5F 1T 10F 1T 2F 2T 3F 1T 1F 1T 3F 2T 2F 1T 10F 1T 5F 1T 11F 2T 6F 1T 4F 1T 1F 1T 9F 1T 2F 																																																																																																								
-6120	  | 1		  | -68		  | 1F 1T 3F 2T 2F 1T 10F 1T 5F 1T 11F 2T 6F 1T 4F 1T 1F 1T 9F 1T 5F 1T 1F 1T 1F 1T 16F 																																																																																																																							
-6030	  | 4		  | -67		  | 17F 1T 1F 1T 1F 1T 5F 1T 9F 1T 1F 1T 4F 1T 6F 2T 11F 1T 5F 1T 10F 1T 2F 2T 3F 1T 1F 1T 3F 2T 2F 1T 10F 1T 5F 1T 11F 2T 6F 1T 4F 1T 1F 1T 9F 1T 5F 1T 1F 1T 1F 1T 16F 																																																																																																			
-5940	  | 3		  | -66		  | 1F 1T 3F 2T 2F 1T 10F 1T 5F 1T 11F 2T 6F 1T 4F 1T 1F 1T 9F 1T 5F 1T 1F 1T 1F 1T 16F 																																																																																																																							
-5850	  | 2		  | -65		  | 17F 1T 1F 1T 1F 1T 5F 1T 9F 1T 1F 1T 4F 1T 6F 2T 11F 1T 5F 1T 10F 1T 2F 2T 3F 1T 1F 1T 3F 2T 2F 1T 10F 1T 5F 1T 4F 																																																																																																																
-5760	  | 1		  | -64		  | 1F 1T 3F 2T 2F 1T 10F 1T 5F 1T 4F 																																																																																																																																				
-5670	  | 4		  | -63		  | 1T 1F 1T 2F 1T 2F 1T 6F 1T 1F 1T 3F 1T 8F 3T 6F 1T 12F 1T 2F 1T 2F 1T 1F 																																																																																																																										
-5580	  | 3		  | -62		  | 1T 11F 1T 3F 1T 15F 1T 2F 1T 2F 1T 12F 1T 6F 3T 8F 1T 3F 1T 1F 1T 6F 1T 2F 1T 2F 1T 1F 																																																																																																																							
-5490	  | 2		  | -61		  | 2F 1T 2F 1T 2F 1T 6F 1T 1F 1T 3F 1T 8F 3T 6F 1T 12F 1T 2F 1T 2F 1T 15F 1T 3F 1T 11F 1T 11F 1T 3F 1T 15F 1T 2F 1T 2F 1T 12F 1T 6F 3T 8F 1T 3F 1T 1F 1T 6F 1T 2F 1T 2F 1T 1F 																																																																																																		
-5400	  | 1		  | -60		  | 1T 11F 1T 3F 1T 15F 1T 2F 1T 2F 1T 12F 1T 6F 3T 8F 1T 3F 1T 1F 1T 6F 1T 2F 1T 2F 1T 1F 																																																																																																																							
-5310	  | 4		  | -59		  | 2F 1T 2F 1T 2F 1T 6F 1T 1F 1T 3F 1T 8F 3T 6F 1T 12F 1T 2F 1T 2F 1T 15F 1T 3F 1T 11F 1T 11F 																																																																																																																						
-5220	  | 3		  | -58		  | 1T 11F 																																																																																																																																											
-5130	  | 2		  | -57		  | 3F 2T 2F 1T 2F 1T 2F 1T 6F 1T 1F 2T 4F 2T 4F 2T 7F 1T 1F 1T 1F 1T 1F 2T 8F 1T 3F 1T 4F 1T 2F 1T 1F 1T 3F 1T 1F 																																																																																																																	
-5040	  | 1		  | -56		  | 3F 1T 3F 1T 2F 2T 1F 1T 3F 1T 1F 1T 2F 1T 4F 1T 3F 1T 8F 2T 1F 1T 1F 1T 1F 1T 7F 2T 4F 2T 4F 2T 1F 1T 6F 1T 2F 1T 2F 1T 2F 2T 2F 																																																																																																												
-4950	  | 4		  | -55		  | 3F 2T 2F 1T 2F 1T 2F 1T 6F 1T 1F 2T 4F 2T 4F 2T 7F 1T 1F 1T 1F 1T 1F 2T 8F 1T 3F 1T 4F 1T 2F 1T 1F 1T 3F 1T 1F 2T 2F 1T 3F 1T 5F 1T 3F 1T 2F 2T 1F 1T 3F 1T 1F 1T 2F 1T 4F 1T 3F 1T 8F 2T 1F 1T 1F 1T 1F 1T 7F 2T 4F 2T 4F 2T 1F 1T 6F 1T 2F 1T 2F 1T 2F 																																																																														
-4860	  | 3		  | -54		  | 3F 1T 3F 1T 2F 2T 1F 1T 3F 1T 1F 1T 2F 1T 4F 1T 3F 1T 8F 2T 1F 1T 1F 1T 1F 1T 7F 2T 4F 2T 4F 2T 1F 1T 6F 1T 2F 1T 2F 1T 2F 																																																																																																														
-4770	  | 2		  | -53		  | 1T 4F 																																																																																																																																											
-4680	  | 1		  | -52		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																																							
-4590	  | 4		  | -51		  | 17F 3T 1F 1T 2F 1T 2F 1T 3F 2T 4F 1T 1F 1T 1F 1T 2F 1T 6F 2T 2F 1T 14F 1T 13F 1T 4F 3T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 16F 																																																																																																		
-4500	  | 3		  | -50		  | 2T 4F 1T 13F 1T 14F 1T 2F 2T 6F 1T 2F 1T 1F 1T 1F 1T 4F 2T 3F 1T 2F 1T 2F 1T 1F 3T 19F 																																																																																																																							
-4410	  | 2		  | -49		  | 3F 																																																																																																																																												
-4320	  | 1		  | -48		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 4F 1T 3F 2T 9F 1T 1F 1T 6F 1T 1F 4T 3F 2T 2F 1T 																																																																																																														
-4230	  | 4		  | -47		  | 2T 1F 1T 2F 2T 3F 4T 1F 1T 6F 1T 1F 1T 9F 2T 3F 1T 4F 1T 2F 1T 4F 2T 1F 1T 3F 2T 1F 1T 2F 1T 6F 1T 2F 1T 2F 2T 1F 1T 3F 1T 7F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 2F 																																																																																											
-4140	  | 3		  | -46		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 2T 3F 1T 1F 2T 4F 1T 2F 1T 2F 																																																																																																																										
-4050	  | 2		  | -45		  | 2F 1T 2F 1T 2F 1T 6F 1T 3F 1T 10F 1T 6F 1T 5F 																																																																																																																																	
-3960	  | 1		  | -44		  | 1F 1T 3F 1T 3F 1T 2F 1T 3F 1T 3F 1T 5F 1T 5F 1T 13F 1T 6F 1T 6F 1T 10F 1T 3F 1T 6F 1T 2F 1T 2F 1T 1F 																																																																																																																			
-3870	  | 4		  | -43		  | 2F 1T 2F 1T 2F 1T 6F 1T 3F 1T 10F 1T 6F 1T 6F 1T 6F 																																																																																																																															
-3780	  | 3		  | -42		  | 3F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 																																																																																																																																	
-3690	  | 2		  | -41		  | 4F 1T 1F 1T 3F 3T 7F 1T 1F 1T 6F 1T 4F 1T 5F 1T 2F 1T 3F 1T 1F 2T 2F 1T 7F 1T 7F 1T 1F 2T 3F 2T 5F 1T 3F 1T 5F 1T 3F 1T 5F 2T 3F 2T 																																																																																																											
-3600	  | 1		  | -40		  | 3F 1T 3F 1T 5F 2T 3F 2T 																																																																																																																																						
-3510	  | 4		  | -39		  | 5F 1T 2F 1T 6F 1T 1F 1T 3F 1T 4F 2T 3F 2T 5F 2T 11F 2T 2F 1T 2F 1T 6F 1T 1F 1T 3F 																																																																																																																								
-3420	  | 3		  | -38		  | 1T 15F 1T 6F 1T 1F 1T 6F 1T 2F 1T 2F 2T 10F 																																																																																																																																	
-3330	  | 2		  | -37		  | 3F 2T 2F 1T 1F 2T 2F 1T 2F 1T 3F 1T 1F 2T 5F 1T 4F 3T 4F 																																																																																																																														
-3240	  | 1		  | -36		  | 10F 2T 1F 1T 3F 1T 9F 2T 4F 2T 1F 1T 3F 2T 1F 1T 1F 1T 1F 2T 5F 3T 																																																																																																																												
-3150	  | 4		  | -35		  | 17F 1T 1F 1T 1F 1T 5F 1T 6F 																																																																																																																																					
-3060	  | 3		  | -34		  | 1F 1T 3F 2T 2F 1T 10F 1T 5F 1T 11F 2T 5F 																																																																																																																																		
-2970	  | 2		  | -33		  | 3F 1T 2F 2T 3F 3T 2F 1T 8F 1T 9F 2T 3F 1T 5F 																																																																																																																																	
-2880	  | 1		  | -32		  | 2F 1T 7F 1T 3F 2T 																																																																																																																																								
-2790	  | 4		  | -31		  | 3F 2T 2F 1T 2F 1T 2F 1T 6F 1T 1F 2T 4F 2T 4F 2T 7F 1T 1F 1T 1F 1T 1F 2T 8F 1T 3F 																																																																																																																								
-2700	  | 3		  | -30		  | 2T 4F 1T 13F 1T 8F 																																																																																																																																								
-2610	  | 2		  | -29		  | 1T 5F 																																																																																																																																											
-2520	  | 1		  | -28		  | 4F 1T 3F 1T 1F 2T 2F 1T 2F 1T 6F 1T 2F 1T 1F 																																																																																																																																	
-2430	  | 4		  | -27		  | 2F 1T 2F 1T 2F 1T 6F 1T 3F 1T 10F 1T 6F 1T 5F 																																																																																																																																	
-2340	  | 3		  | -26		  | 3F 1T 3F 1T 5F 2T 3F 2T 1F 1T 7F 1T 7F 1T 2F 2T 1F 1T 3F 1T 																																																																																																																													
-2250	  | 2		  | -25		  | 5F 1T 2F 1T 6F 1T 1F 1T 3F 1T 4F 2T 3F 2T 5F 2T 2F 																																																																																																																																
-2160	  | 1		  | -24		  | 10F 2T 1F 1T 3F 1T 9F 2T 4F 2T 1F 1T 1F 																																																																																																																																		
-2070	  | 4		  | -23		  | 1T 16F 1T 1F 1T 1F 1T 2F 																																																																																																																																						
-1980	  | 3		  | -22		  | 2F 1T 2F 																																																																																																																																										
-1890	  | 2		  | -21		  | 17F 3T 																																																																																																																																											
-1800	  | 1		  | -20		  | 4F 1T 3F 1T 1F 																																																																																																																																									
-1710	  | 4		  | -19		  | 1T 3F 1T 1F 1T 3F 3T 7F 1T 1F 1T 2F 																																																																																																																																			
-1620	  | 3		  | -18		  | 10F 2T 1F 1T 3F 																																																																																																																																								
-1530	  | 2		  | -17		  | 1T 2F 1T 2F 2T 3F 3T 2F 1T 2F 																																																																																																																																					
-1440	  | 1		  | -16		  | 8F 1T 																																																																																																																																											
-1350	  | 4		  | -15		  | 4F 1T 1F 1T 3F 3T 2F 																																																																																																																																							
-1260	  | 3		  | -14		  | 1F 1T 3F 2T 2F 1T 4F 																																																																																																																																							
-1170	  | 2		  | -13		  | 3F 																																																																																																																																												
-1080	  | 1		  | -12		  | 2F 																																																																																																																																												
-990	  | 4		  | -11		  | 9F 1T 																																																																																																																																											
-900	  | 3		  | -10		  | 1T 6F 1T 1F 2T 5F 1T 13F 2T 5F 1T 8F 1T 3F 1T 1F 1T 2F 																																																																																																																															
-810	  | 2		  | -9		  | 1F 1T 7F 																																																																																																																																										
-720	  | 1		  | -8		  | 1F 1T 2F 																																																																																																																																										
-630	  | 4		  | -7		  | 1T 6F 																																																																																																																																											
-540	  | 3		  | -6		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 																																																																																																																																					
-450	  | 2		  | -5		  | 1F 1T 8F 																																																																																																																																										
-360	  | 1		  | -4		  | 1T 1F 																																																																																																																																											
-270	  | 4		  | -3		  | 1F 1T 1F 																																																																																																																																										
-180	  | 3		  | -2		  | 1T 																																																																																																																																												
-90		  | 2		  | -1		  | 6F 																																																																																																																																												
0		  | 1		  | 0		  | 1F 																																																																																																																																												
90		  | 2		  | 1		  | 7F 2T 1F 																																																																																																																																										
180		  | 3		  | 2		  | 2T 1F 1T 4F 1T 2F 																																																																																																																																								
270		  | 4		  | 3		  | 2T 1F 1T 3F 1T 9F 																																																																																																																																								
360		  | 1		  | 4		  | 1F 1T 2F 1T 1F 1T 1F 2T 2F 1T 4F 1T 3F 2T 10F 1T 2F 1T 2F 2T 6F 1T 2F 1T 3F 1T 5F 1T 1F 2T 10F 																																																																																																																					
450		  | 2		  | 5		  | 4F 1T 1F 1T 2F 1T 4F 2T 11F 2T 1F 1T 5F 1T 3F 1T 2F 1T 6F 2T 2F 1T 2F 1T 10F 2T 3F 1T 4F 1T 2F 2T 1F 1T 1F 1T 2F 1T 1F 1T 2F 1T 1F 1T 1F 2T 2F 1T 4F 1T 3F 2T 10F 																																																																																																				
540		  | 3		  | 6		  | 1F 1T 2F 1T 1F 1T 1F 2T 2F 1T 4F 1T 3F 2T 10F 																																																																																																																																	
630		  | 4		  | 7		  | 5F 1T 10F 2T 4F 2T 2F 1T 6F 1T 4F 1T 10F 1T 8F 																																																																																																																																	
720		  | 1		  | 8		  | 5F 1T 1F 1T 5F 1T 5F 1T 5F 1T 1F 3T 11F 1T 10F 1T 4F 1T 6F 1T 2F 2T 4F 2T 10F 1T 4F 																																																																																																																							
810		  | 2		  | 9		  | 1T 4F 1T 10F 2T 4F 2T 2F 1T 6F 1T 4F 1T 10F 1T 11F 3T 1F 1T 5F 1T 5F 1T 5F 1T 1F 1T 9F 1T 1F 1T 5F 1T 5F 1T 5F 1T 1F 3T 11F 1T 10F 1T 4F 1T 6F 1T 2F 2T 4F 2T 10F 1T 4F 																																																																																																		
900		  | 3		  | 10		  | 5F 1T 1F 1T 5F 1T 5F 1T 5F 1T 1F 3T 11F 1T 10F 1T 4F 1T 6F 1T 2F 2T 4F 2T 10F 1T 4F 1T 4F 1T 4F 																																																																																																																				
990		  | 4		  | 11		  | 1T 4F 1T 4F 																																																																																																																																									
1080	  | 1		  | 12		  | 3F 2T 1F 1T 7F 2T 3F 1T 1F 1T 5F 2T 7F 1T 2F 1T 5F 1T 13F 1T 2F 1T 2F 1T 																																																																																																																										
1170	  | 2		  | 13		  | 8F 1T 3F 1T 8F 1T 3F 																																																																																																																																							
1260	  | 3		  | 14		  | 1T 1F 1T 4F 1T 4F 1T 5F 1T 1F 1T 3F 2T 14F 1T 2F 1T 3F 2T 2F 1T 1F 1T 4F 1T 10F 1T 8F 1T 3F 1T 7F 																																																																																																																				
1350	  | 4		  | 15		  | 8F 1T 3F 1T 8F 1T 10F 1T 4F 1T 1F 1T 2F 2T 3F 1T 2F 1T 14F 2T 3F 1T 1F 1T 5F 1T 4F 																																																																																																																								
1440	  | 1		  | 16		  | 8F 																																																																																																																																												
1530	  | 2		  | 17		  | 2T 8F 1T 2F 2T 2F 1T 4F 1T 3F 2T 13F 1T 4F 1T 5F 1T 5F 1T 5F 1T 3F 1T 4F 1T 8F 1T 15F 																																																																																																																							
1620	  | 3		  | 18		  | 8F 1T 8F 1T 4F 1T 3F 1T 5F 1T 5F 1T 5F 1T 4F 1T 13F 2T 3F 1T 4F 1T 2F 2T 2F 1T 8F 1T 																																																																																																																							
1710	  | 4		  | 19		  | 2T 8F 1T 2F 2T 2F 1T 4F 1T 3F 2T 13F 1T 4F 1T 5F 1T 5F 1T 5F 1T 3F 1T 4F 1T 8F 1T 15F 1T 8F 1T 4F 1T 3F 1T 5F 1T 5F 1T 5F 1T 4F 1T 13F 2T 3F 1T 4F 1T 2F 2T 2F 1T 8F 1T 																																																																																																		
1800	  | 1		  | 20		  | 8F 1T 8F 1T 4F 1T 3F 1T 5F 1T 5F 1T 5F 1T 4F 1T 13F 2T 3F 1T 4F 1T 2F 2T 2F 1T 8F 1T 																																																																																																																							
1890	  | 2		  | 21		  | 1F 1T 8F 1T 2F 2T 2F 1T 2F 																																																																																																																																						
1980	  | 3		  | 22		  | 5F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 																																																																																																																													
2070	  | 4		  | 23		  | 1T 1F 1T 2F 2T 4F 1T 8F 1T 2F 1T 6F 1T 9F 1T 1F 1T 5F 1T 6F 2T 2F 1T 19F 1T 5F 1T 9F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 																																																																																																									
2160	  | 1		  | 24		  | 5F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 8F 1T 4F 2T 2F 1T 1F 																																																																																																																								
2250	  | 2		  | 25		  | 2F 1T 2F 2T 4F 1T 8F 1T 2F 1T 6F 1T 9F 1T 1F 1T 5F 1T 6F 2T 2F 1T 19F 1T 5F 1T 9F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 8F 1T 4F 2T 2F 1T 1F 																																																																																																				
2340	  | 3		  | 26		  | 5F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 8F 1T 4F 2T 2F 1T 1F 																																																																																																																								
2430	  | 4		  | 27		  | 2F 1T 2F 2T 4F 1T 8F 1T 2F 1T 6F 1T 9F 1T 1F 1T 5F 1T 6F 2T 2F 1T 19F 1T 5F 1T 9F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 8F 1T 4F 2T 2F 1T 3F 1T 2F 2T 4F 1T 8F 1T 2F 1T 6F 1T 9F 1T 1F 1T 5F 1T 6F 2T 2F 1T 19F 1T 5F 1T 9F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 8F 1T 4F 2T 2F 1T 1F 																																																													
2520	  | 1		  | 28		  | 5F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 8F 1T 4F 2T 2F 1T 1F 																																																																																																																								
2610	  | 2		  | 29		  | 2F 1T 2F 2T 4F 1T 8F 1T 2F 1T 6F 1T 9F 1T 1F 1T 5F 1T 6F 2T 2F 1T 19F 1T 5F 1T 9F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 8F 1T 4F 2T 2F 1T 1F 																																																																																																				
2700	  | 3		  | 30		  | 5F 1T 5F 1T 19F 1T 2F 2T 6F 1T 5F 1T 1F 1T 9F 1T 6F 1T 2F 1T 8F 1T 4F 2T 2F 1T 1F 																																																																																																																								
2790	  | 4		  | 31		  | 2F 1T 2F 2T 4F 1T 8F 1T 2F 1T 6F 1T 9F 1T 1F 1T 5F 1T 6F 2T 2F 1T 15F 																																																																																																																											
2880	  | 1		  | 32		  | 1F 1T 1F 2T 3F 1T 4F 3T 																																																																																																																																						
2970	  | 2		  | 33		  | 1F 1T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 																																																																																																															
3060	  | 3		  | 34		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																																																					
3150	  | 4		  | 35		  | 2T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																															
3240	  | 1		  | 36		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																																																					
3330	  | 2		  | 37		  | 2T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																															
3420	  | 3		  | 38		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																																																					
3510	  | 4		  | 39		  | 2T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 1F 1T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																	
3600	  | 1		  | 40		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																																																					
3690	  | 2		  | 41		  | 1F 1T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 1F 1T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																
3780	  | 3		  | 42		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																																																					
3870	  | 4		  | 43		  | 1F 1T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																														
3960	  | 1		  | 44		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																																																					
4050	  | 2		  | 45		  | 1F 1T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																														
4140	  | 3		  | 46		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																																																					
4230	  | 4		  | 47		  | 1F 1T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																														
4320	  | 1		  | 48		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																																																					
4410	  | 2		  | 49		  | 2T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																															
4500	  | 3		  | 50		  | 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																																																					
4590	  | 4		  | 51		  | 2T 12F 2T 8F 1T 3F 1T 2F 1T 17F 1T 7F 1T 3F 1T 2F 1T 2F 1T 3F 1T 3F 3T 4F 1T 3F 2T 1F 1T 1F 1T 1F 2T 3F 1T 4F 3T 3F 1T 3F 1T 2F 1T 2F 1T 3F 1T 7F 1T 17F 1T 2F 1T 3F 1T 8F 2T 12F 1T 																																																																																															
